"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","HUR","TOT","PC_LF","M","2005-01",5.074622,
"AUS","HUR","TOT","PC_LF","M","2005-02",5.085431,
"AUS","HUR","TOT","PC_LF","M","2005-03",5.163756,
"AUS","HUR","TOT","PC_LF","M","2005-04",5.123358,
"AUS","HUR","TOT","PC_LF","M","2005-05",5.100113,
"AUS","HUR","TOT","PC_LF","M","2005-06",4.950796,
"AUS","HUR","TOT","PC_LF","M","2005-07",4.972756,
"AUS","HUR","TOT","PC_LF","M","2005-08",4.902418,
"AUS","HUR","TOT","PC_LF","M","2005-09",5.003174,
"AUS","HUR","TOT","PC_LF","M","2005-10",5.01636,
"AUS","HUR","TOT","PC_LF","M","2005-11",4.937554,
"AUS","HUR","TOT","PC_LF","M","2005-12",5.071115,
"AUS","HUR","TOT","PC_LF","M","2006-01",5.163861,
"AUS","HUR","TOT","PC_LF","M","2006-02",5.105196,
"AUS","HUR","TOT","PC_LF","M","2006-03",4.86816,
"AUS","HUR","TOT","PC_LF","M","2006-04",4.967295,
"AUS","HUR","TOT","PC_LF","M","2006-05",4.798697,
"AUS","HUR","TOT","PC_LF","M","2006-06",4.808897,
"AUS","HUR","TOT","PC_LF","M","2006-07",4.657434,
"AUS","HUR","TOT","PC_LF","M","2006-08",4.713168,
"AUS","HUR","TOT","PC_LF","M","2006-09",4.667052,
"AUS","HUR","TOT","PC_LF","M","2006-10",4.463884,
"AUS","HUR","TOT","PC_LF","M","2006-11",4.515885,
"AUS","HUR","TOT","PC_LF","M","2006-12",4.569097,
"AUS","HUR","TOT","PC_LF","M","2007-01",4.555173,
"AUS","HUR","TOT","PC_LF","M","2007-02",4.6362,
"AUS","HUR","TOT","PC_LF","M","2007-03",4.460739,
"AUS","HUR","TOT","PC_LF","M","2007-04",4.387366,
"AUS","HUR","TOT","PC_LF","M","2007-05",4.26491,
"AUS","HUR","TOT","PC_LF","M","2007-06",4.324747,
"AUS","HUR","TOT","PC_LF","M","2007-07",4.254053,
"AUS","HUR","TOT","PC_LF","M","2007-08",4.30023,
"AUS","HUR","TOT","PC_LF","M","2007-09",4.213971,
"AUS","HUR","TOT","PC_LF","M","2007-10",4.327138,
"AUS","HUR","TOT","PC_LF","M","2007-11",4.427521,
"AUS","HUR","TOT","PC_LF","M","2007-12",4.309566,
"AUS","HUR","TOT","PC_LF","M","2008-01",4.221169,
"AUS","HUR","TOT","PC_LF","M","2008-02",3.981161,
"AUS","HUR","TOT","PC_LF","M","2008-03",4.058254,
"AUS","HUR","TOT","PC_LF","M","2008-04",4.266881,
"AUS","HUR","TOT","PC_LF","M","2008-05",4.266643,
"AUS","HUR","TOT","PC_LF","M","2008-06",4.244201,
"AUS","HUR","TOT","PC_LF","M","2008-07",4.251085,
"AUS","HUR","TOT","PC_LF","M","2008-08",4.016149,
"AUS","HUR","TOT","PC_LF","M","2008-09",4.289724,
"AUS","HUR","TOT","PC_LF","M","2008-10",4.290961,
"AUS","HUR","TOT","PC_LF","M","2008-11",4.463317,
"AUS","HUR","TOT","PC_LF","M","2008-12",4.571092,
"AUS","HUR","TOT","PC_LF","M","2009-01",4.908084,
"AUS","HUR","TOT","PC_LF","M","2009-02",5.306102,
"AUS","HUR","TOT","PC_LF","M","2009-03",5.713026,
"AUS","HUR","TOT","PC_LF","M","2009-04",5.514769,
"AUS","HUR","TOT","PC_LF","M","2009-05",5.812155,
"AUS","HUR","TOT","PC_LF","M","2009-06",5.861667,
"AUS","HUR","TOT","PC_LF","M","2009-07",5.673621,
"AUS","HUR","TOT","PC_LF","M","2009-08",5.716066,
"AUS","HUR","TOT","PC_LF","M","2009-09",5.661459,
"AUS","HUR","TOT","PC_LF","M","2009-10",5.624306,
"AUS","HUR","TOT","PC_LF","M","2009-11",5.558989,
"AUS","HUR","TOT","PC_LF","M","2009-12",5.492146,
"AUS","HUR","TOT","PC_LF","M","2010-01",5.266345,
"AUS","HUR","TOT","PC_LF","M","2010-02",5.303343,
"AUS","HUR","TOT","PC_LF","M","2010-03",5.42433,
"AUS","HUR","TOT","PC_LF","M","2010-04",5.499742,
"AUS","HUR","TOT","PC_LF","M","2010-05",5.229443,
"AUS","HUR","TOT","PC_LF","M","2010-06",5.144043,
"AUS","HUR","TOT","PC_LF","M","2010-07",5.289492,
"AUS","HUR","TOT","PC_LF","M","2010-08",5.033607,
"AUS","HUR","TOT","PC_LF","M","2010-09",5.053716,
"AUS","HUR","TOT","PC_LF","M","2010-10",5.286494,
"AUS","HUR","TOT","PC_LF","M","2010-11",5.109102,
"AUS","HUR","TOT","PC_LF","M","2010-12",4.878179,
"AUS","HUR","TOT","PC_LF","M","2011-01",5.00418,
"AUS","HUR","TOT","PC_LF","M","2011-02",4.978266,
"AUS","HUR","TOT","PC_LF","M","2011-03",4.927809,
"AUS","HUR","TOT","PC_LF","M","2011-04",4.960418,
"AUS","HUR","TOT","PC_LF","M","2011-05",5.01334,
"AUS","HUR","TOT","PC_LF","M","2011-06",4.915062,
"AUS","HUR","TOT","PC_LF","M","2011-07",5.094185,
"AUS","HUR","TOT","PC_LF","M","2011-08",5.270551,
"AUS","HUR","TOT","PC_LF","M","2011-09",5.219069,
"AUS","HUR","TOT","PC_LF","M","2011-10",5.189953,
"AUS","HUR","TOT","PC_LF","M","2011-11",5.230527,
"AUS","HUR","TOT","PC_LF","M","2011-12",5.199093,
"AUS","HUR","TOT","PC_LF","M","2012-01",5.048141,
"AUS","HUR","TOT","PC_LF","M","2012-02",5.202077,
"AUS","HUR","TOT","PC_LF","M","2012-03",5.185261,
"AUS","HUR","TOT","PC_LF","M","2012-04",4.995734,
"AUS","HUR","TOT","PC_LF","M","2012-05",5.200192,
"AUS","HUR","TOT","PC_LF","M","2012-06",5.159878,
"AUS","HUR","TOT","PC_LF","M","2012-07",5.182952,
"AUS","HUR","TOT","PC_LF","M","2012-08",5.154801,
"AUS","HUR","TOT","PC_LF","M","2012-09",5.482411,
"AUS","HUR","TOT","PC_LF","M","2012-10",5.413185,
"AUS","HUR","TOT","PC_LF","M","2012-11",5.256284,
"AUS","HUR","TOT","PC_LF","M","2012-12",5.435501,
"AUS","HUR","TOT","PC_LF","M","2013-01",5.390453,
"AUS","HUR","TOT","PC_LF","M","2013-02",5.410675,
"AUS","HUR","TOT","PC_LF","M","2013-03",5.64447,
"AUS","HUR","TOT","PC_LF","M","2013-04",5.590552,
"AUS","HUR","TOT","PC_LF","M","2013-05",5.610126,
"AUS","HUR","TOT","PC_LF","M","2013-06",5.689666,
"AUS","HUR","TOT","PC_LF","M","2013-07",5.634674,
"AUS","HUR","TOT","PC_LF","M","2013-08",5.838285,
"AUS","HUR","TOT","PC_LF","M","2013-09",5.695109,
"AUS","HUR","TOT","PC_LF","M","2013-10",5.825334,
"AUS","HUR","TOT","PC_LF","M","2013-11",5.796578,
"AUS","HUR","TOT","PC_LF","M","2013-12",5.90414,
"AUS","HUR","TOT","PC_LF","M","2014-01",5.944219,
"AUS","HUR","TOT","PC_LF","M","2014-02",5.895029,
"AUS","HUR","TOT","PC_LF","M","2014-03",5.882296,
"AUS","HUR","TOT","PC_LF","M","2014-04",5.809099,
"AUS","HUR","TOT","PC_LF","M","2014-05",5.930977,
"AUS","HUR","TOT","PC_LF","M","2014-06",6.036907,
"AUS","HUR","TOT","PC_LF","M","2014-07",6.158658,
"AUS","HUR","TOT","PC_LF","M","2014-08",6.085177,
"AUS","HUR","TOT","PC_LF","M","2014-09",6.216553,
"AUS","HUR","TOT","PC_LF","M","2014-10",6.359546,
"AUS","HUR","TOT","PC_LF","M","2014-11",6.297723,
"AUS","HUR","TOT","PC_LF","M","2014-12",6.109701,
"AUS","HUR","TOT","PC_LF","M","2015-01",6.352143,
"AUS","HUR","TOT","PC_LF","M","2015-02",6.166001,
"AUS","HUR","TOT","PC_LF","M","2015-03",6.114974,
"AUS","HUR","TOT","PC_LF","M","2015-04",6.121676,
"AUS","HUR","TOT","PC_LF","M","2015-05",5.933183,
"AUS","HUR","TOT","PC_LF","M","2015-06",5.988641,
"AUS","HUR","TOT","PC_LF","M","2015-07",6.256232,
"AUS","HUR","TOT","PC_LF","M","2015-08",6.067544,
"AUS","HUR","TOT","PC_LF","M","2015-09",6.146586,
"AUS","HUR","TOT","PC_LF","M","2015-10",5.911436,
"AUS","HUR","TOT","PC_LF","M","2015-11",5.853846,
"AUS","HUR","TOT","PC_LF","M","2015-12",5.747006,
"AUS","HUR","TOT","PC_LF","M","2016-01",6.043354,
"AUS","HUR","TOT","PC_LF","M","2016-02",5.717444,
"AUS","HUR","TOT","PC_LF","M","2016-03",5.672294,
"AUS","HUR","TOT","PC_LF","M","2016-04",5.660189,
"AUS","HUR","TOT","PC_LF","M","2016-05",5.71953,
"AUS","HUR","TOT","PC_LF","M","2016-06",5.66641,
"AUS","HUR","TOT","PC_LF","M","2016-07",5.672841,
"AUS","HUR","TOT","PC_LF","M","2016-08",5.587458,
"AUS","HUR","TOT","PC_LF","M","2016-09",5.624491,
"AUS","HUR","TOT","PC_LF","M","2016-10",5.572135,
"AUS","HUR","TOT","PC_LF","M","2016-11",5.762642,
"AUS","HUR","TOT","PC_LF","M","2016-12",5.833465,
"AUS","HUR","TOT","PC_LF","M","2017-01",5.70919,
"AUS","HUR","TOT","PC_LF","M","2017-02",5.885886,
"AUS","HUR","TOT","PC_LF","M","2017-03",5.887271,
"AUS","HUR","TOT","PC_LF","M","2017-04",5.636843,
"AUS","HUR","TOT","PC_LF","M","2017-05",5.539797,
"AUS","HUR","TOT","PC_LF","M","2017-06",5.560977,
"AUS","HUR","TOT","PC_LF","M","2017-07",5.565654,
"AUS","HUR","TOT","PC_LF","M","2017-08",5.489003,
"AUS","HUR","TOT","PC_LF","M","2017-09",5.421041,
"AUS","HUR","TOT","PC_LF","M","2017-10",5.35039,
"AUS","HUR","TOT","PC_LF","M","2017-11",5.421287,
"AUS","HUR","TOT","PC_LF","M","2017-12",5.606496,
"AUS","HUR","TOT","PC_LF","M","2018-01",5.535525,
"AUS","HUR","TOT","PC_LF","M","2018-02",5.609531,
"AUS","HUR","TOT","PC_LF","M","2018-03",5.555048,
"AUS","HUR","TOT","PC_LF","M","2018-04",5.559155,
"AUS","HUR","TOT","PC_LF","M","2018-05",5.386026,
"AUS","HUR","TOT","PC_LF","M","2018-06",5.277534,
"AUS","HUR","TOT","PC_LF","M","2018-07",5.259318,
"AUS","HUR","TOT","PC_LF","M","2018-08",5.239898,
"AUS","HUR","TOT","PC_LF","M","2018-09",4.986863,
"AUS","HUR","TOT","PC_LF","M","2018-10",4.979814,
"AUS","HUR","TOT","PC_LF","M","2018-11",5.108513,
"AUS","HUR","TOT","PC_LF","M","2018-12",5.004922,
"AUS","HUR","TOT","PC_LF","M","2019-01",5.081373,
"AUS","HUR","TOT","PC_LF","M","2019-02",5.007784,
"AUS","HUR","TOT","PC_LF","M","2019-03",5.135801,
"AUS","HUR","TOT","PC_LF","M","2019-04",5.242968,
"AUS","HUR","TOT","PC_LF","M","2019-05",5.199353,
"AUS","HUR","TOT","PC_LF","M","2019-06",5.201538,
"AUS","HUR","TOT","PC_LF","M","2019-07",5.228508,
"AUS","HUR","TOT","PC_LF","M","2019-08",5.223804,
"AUS","HUR","TOT","PC_LF","M","2019-09",5.160942,
"AUS","HUR","TOT","PC_LF","M","2019-10",5.271043,
"AUS","HUR","TOT","PC_LF","M","2019-11",5.15723,
"AUS","HUR","TOT","PC_LF","M","2019-12",5.046326,
"AUS","HUR","TOT","PC_LF","M","2020-01",5.311689,
"AUS","HUR","TOT","PC_LF","M","2020-02",5.13366,
"AUS","HUR","TOT","PC_LF","M","2020-03",5.271841,
"AUS","HUR","TOT","PC_LF","M","2020-04",6.374276,
"AUS","HUR","TOT","PC_LF","M","2020-05",7.018559,
"AUS","HUR","TOT","PC_LF","M","2020-06",7.353504,
"AUS","HUR","TOT","PC_LF","M","2020-07",7.44782,
"AUS","HUR","TOT","PC_LF","M","2020-08",6.758088,
"AUS","HUR","TOT","PC_LF","M","2020-09",6.854655,
"AUS","HUR","TOT","PC_LF","M","2020-10",6.935978,
"AUS","HUR","TOT","PC_LF","M","2020-11",6.832822,
"AUS","HUR","TOT","PC_LF","M","2020-12",6.577847,
"AUS","HUR","TOT","PC_LF","M","2021-01",6.399545,
"AUS","HUR","TOT","PC_LF","M","2021-02",5.862685,
"AUS","HUR","TOT","PC_LF","M","2021-03",5.693758,
"AUS","HUR","TOT","PC_LF","M","2021-04",5.471205,
"AUS","HUR","TOT","PC_LF","M","2021-05",5.065564,
"AUS","HUR","TOT","PC_LF","M","2021-06",4.906898,
"AUS","HUR","TOT","PC_LF","M","2021-07",4.628413,
"AUS","HUR","TOT","PC_LF","M","2021-08",4.525121,
"AUS","HUR","TOT","PC_LF","M","2021-09",4.631909,
"AUS","HUR","TOT","PC_LF","M","2021-10",5.223247,
